;Erreichbarkeit;Steuerbelastung
Adligenswil;551;462
Ballwil;703;211
Beromünster;854;434
Buchrain;634;434
Büron;832;622
Buttisholz;864;543
Dagmersellen;499;397
Ebikon;337;367
Emmen;564;459
Entlebuch;850;575
Eschenbach (LU);704;189
Escholzmatt-Marbach;857;575
Ettiswil;859;499
Geuensee;812;571
Grosswangen;872;494
Hildisrieden;791;367
Hitzkirch;812;521
Hochdorf;795;468
Hohenrain;848;543
Horw;525;196
Inwil;726;359
Knutwil;827;524
Kriens;459;434
Luzern;170;339
Malters;629;472
Meggen;473;29
Menznau;876;698
Nebikon;617;410
Neuenkirch;695;472
Nottwil;798;459
Oberkirch;811;223
Pfaffnau;745;484
Rain;776;417
Reiden;323;575
Rickenbach (LU);861;543
Root;462;397
Rothenburg;513;367
Ruswil;840;537
Schenkon;830;86
Schötz;814;579
Schüpfheim;846;524
Sempach;736;468
Sursee;685;339
Triengen;832;326
Udligenswil;580;424
Wauwil;720;505
Weggis;817;192
Werthenstein;837;613
Willisau;892;532
Wolhusen;818;613
Zell (LU);843;505
