"GEMEINDE","BFS_NR","Rank"
"Meggen",1063,29
"Schenkon",1099,86
"Vitznau",1068,-1000
"Eich",1084,-1000
"Weggis",1069,192
"Eschenbach (LU)",1026,189
"Horw",1058,196
"Ballwil",1023,211
"Oberkirch",1095,223
"Gisikon",1055,-1000
"Hildisrieden",1088,367
"Schlierbach",1100,-1000
"Triengen",1104,326
"Altishofen",1123,-1000
"Root",1065,397
"Luzern",1061,339
"Sursee",1103,339
"Ebikon",1054,367
"Honau",1057,-1000
"Inwil",1033,359
"Nebikon",1137,410
"Neuenkirch",1093,472
"Rain",1037,417
"Rothenburg",1040,367
"Beromünster",1081,434
"Beromünster",1081,434
"Dagmersellen",1125,397
"Dierikon",1053,-1000
"Greppen",1056,-1000
"Grosswangen",1086,494
"Nottwil",1094,459
"Pfaffnau",1139,484
"Udligenswil",1067,424
"Aesch (LU)",1021,-1000
"Buchrain",1052,434
"Egolzwil",1127,-1000
"Flühli",1004,-1000
"Kriens",1059,434
"Ruswil",1098,537
"Sempach",1102,468
"Zell (LU)",1150,505
"Escholzmatt-Marbach",1010,575
"Escholzmatt-Marbach",1010,575
"Hitzkirch",1030,521
"Malters",1062,472
"Adligenswil",1051,462
"Buttisholz",1083,543
"Hochdorf",1031,468
"Mauensee",1091,-1000
"Alberswil",1121,-1000
"Ettiswil",1128,499
"Knutwil",1089,524
"Römerswil",1039,-1000
"Schüpfheim",1008,524
"Wauwil",1146,505
"Entlebuch",1002,575
"Ermensee",1025,-1000
"Hergiswil bei Willisau",1132,-1000
"Roggliswil",1142,-1000
"Romoos",1007,-1000
"Schongau",1041,-1000
"Schwarzenberg",1066,-1000
"Willisau",1151,532
"Emmen",1024,459
"Hohenrain",1032,543
"Meierskappel",1064,-1000
"Rickenbach (LU)",1097,543
"Schötz",1143,579
"Altbüron",1122,-1000
"Büron",1082,622
"Geuensee",1085,571
"Grossdietwil",1131,-1000
"Menznau",1136,698
"Reiden",1140,575
"Altwis",1022,-1000
"Doppleschwand",1001,-1000
"Ebersecken",1126,-1000
"Fischbach",1129,-1000
"Gettnau",1130,-1000
"Hasle (LU)",1005,-1000
"Luthern",1135,-1000
"Ufhusen",1145,-1000
"Werthenstein",1009,613
"Wolhusen",1107,613
"Wikon",1147,-1000
