"Gemeinde","GemeindeNummer","Matura","Anzahl"
"Adligenswil",1051,4.73,191.0
"Aesch (LU)",1021,4.6,18.0
"Alberswil",1121,4.46,10.0
"Altbüron",1122,4.7,15.0
"Altishofen",1123,4.82,32.0
"Altwis",1022,4.45,4.0
"Ballwil",1023,4.71,40.0
"Beromünster",1081,4.69,128.0
"Buchrain",1052,4.65,119.0
"Buttisholz",1083,4.81,62.0
"Büron",1082,4.75,47.0
"Dagmersellen",1125,4.78,68.0
"Dierikon",1053,4.7,22.0
"Doppleschwand",1001,4.51,7.0
"Ebersecken",1126,4.75,8.0
"Ebikon",1054,4.66,184.0
"Egolzwil",1127,4.76,27.0
"Eich",1084,4.71,55.0
"Emmen",1024,4.68,386.0
"Entlebuch",1002,4.83,38.0
"Ermensee",1025,4.54,18.0
"Eschenbach (LU)",1026,4.66,86.0
"Escholzmatt XXX",1010,4.85,8.0
"Escholzmatt-Marbach",1010,4.69,36.0
"Ettiswil",1128,4.64,40.0
"Fischbach",1129,4.64,12.0
"Flühli",1004,4.63,23.0
"Gettnau",1130,4.92,12.0
"Geuensee",1085,4.75,47.0
"Gisikon",1055,4.77,22.0
"Greppen",1056,4.66,11.0
"Grossdietwil",1131,4.71,20.0
"Grosswangen",1086,4.71,51.0
"Hasle (LU)",1005,4.78,28.0
"Hergiswil bei Willisau",1132,4.74,14.0
"Hildisrieden",1088,4.72,41.0
"Hitzkirch",1030,4.7,116.0
"Hochdorf",1031,4.67,160.0
"Hohenrain",1032,4.66,61.0
"Honau",1057,4.64,11.0
"Horw",1058,4.66,334.0
"Inwil",1033,4.66,33.0
"Knutwil",1089,4.68,55.0
"Kriens",1059,4.7,541.0
"Luthern",1135,4.72,11.0
"Luzern",1061,4.65,1178.0
"Malters",1062,4.8,125.0
"Marbach (LU) XXX",1010,4.78,3.0
"Mauensee",1091,4.73,51.0
"Meggen",1063,4.64,208.0
"Meierskappel",1064,4.23,8.0
"Menznau",1136,4.68,29.0
"Nebikon",1137,4.76,23.0
"Neudorf XXX",1081,4.71,4.0
"Neuenkirch",1093,4.73,132.0
"Nottwil",1094,4.81,59.0
"Oberkirch",1095,4.74,109.0
"Ohmstal XXX",1143,4.5,2.0
"Pfaffnau",1139,4.33,15.0
"Pfeffikon XXX",1097,4.97,2.0
"Rain",1037,4.69,48.0
"Reiden",1140,4.64,71.0
"Rickenbach (LU)",1097,4.63,45.0
"Roggliswil",1142,4.59,2.0
"Romoos",1007,4.77,5.0
"Root",1065,4.69,50.0
"Rothenburg",1040,4.71,164.0
"Ruswil",1098,4.79,107.0
"Römerswil",1039,4.74,21.0
"Schenkon",1099,4.73,84.0
"Schlierbach",1100,4.81,15.0
"Schongau",1041,4.66,21.0
"Schwarzenberg",1066,4.53,34.0
"Schötz",1143,4.58,62.0
"Schüpfheim",1008,4.76,103.0
"Sempach",1102,4.72,138.0
"Sursee",1103,4.73,193.0
"Triengen",1104,4.7,68.0
"Udligenswil",1067,4.67,42.0
"Ufhusen",1145,4.77,12.0
"Vitznau",1068,4.08,7.0
"Wauwil",1146,4.74,25.0
"Weggis",1069,4.85,40.0
"Werthenstein",1009,4.8,27.0
"Wikon",1147,4.74,6.0
"Willisau",1151,4.69,177.0
"Wolhusen",1107,4.66,79.0
"Zell (LU)",1150,4.77,41.0
